,container,date,location,status
358,EMCU9741336,2019-04-08,CALLAO (PE),Empty container returned under damaged condition
359,TEMU6540022,2019-04-08,CALLAO (PE),Empty container returned
360,EGHU1059480,2019-04-03,CALLAO (PE),Pick-up by merchant haulage
361,EISU9203483,2019-04-08,CALLAO (PE),Empty container returned under damaged condition
362,LTIU8037181,2019-04-03,CALLAO (PE),Pick-up by merchant haulage
363,MAGU5294854,2019-04-03,CALLAO (PE),Pick-up by merchant haulage
364,XINU8141074,2019-04-12,CALLAO (PE),Empty container returned
365,EGHU9181730,2019-04-11,CALLAO (PE),Empty container returned
366,TGBU6934284,2019-04-13,CALLAO (PE),Empty pick-up by merchant haulage
367,EGHU3286950,2019-04-02,CALLAO (PE),Discharged (FCL)
368,TEMU6442725,2019-04-05,CALLAO (PE),Empty container returned
369,EISU9448819,2019-04-04,CALLAO (PE),Empty container returned under damaged condition
370,EGSU9118794,2019-04-09,ARICA (CL),Pick-up by merchant haulage
371,TEMU8918003,2019-04-12,IQUIQUE (CL),Empty container returned under damaged condition
372,EGHU9100528,2019-04-11,SAN ANTONIO (CL),Full import container received at inland depot
373,HMCU9194191,2019-04-11,SAN ANTONIO (CL),Full import container received at inland depot
374,EISU9237056,2019-04-12,IQUIQUE (CL),Empty container returned under damaged condition
375,EGHU9216903,2019-04-11,SAN ANTONIO (CL),Pick-up by merchant haulage
376,XINU8126784,2019-04-11,SAN ANTONIO (CL),Pick-up by merchant haulage
377,TEMU6046154,2019-04-12,SAN ANTONIO (CL),Empty container returned
378,EMCU9475350,2019-04-12,SAN ANTONIO (CL),Empty container returned
379,EISU3935065,2019-04-12,SAN ANTONIO (CL),Pick-up by merchant haulage
380,XINU8205440,2019-04-09,IQUIQUE (CL),Pick-up by merchant haulage
381,TGHU8966364,2019-04-12,IQUIQUE (CL),Empty container returned under damaged condition
382,EMCU1367913,2019-04-11,SAN ANTONIO (CL),Empty container returned
383,HMCU9096087,2019-04-11,SAN ANTONIO (CL),Pick-up by merchant haulage
384,LTIU8006771,2019-04-12,IQUIQUE (CL),Empty container returned under damaged condition
385,EMCU3903893,2019-04-11,SAN ANTONIO (CL),Pick-up by merchant haulage
386,TGHU6966909,2019-04-11,SAN ANTONIO (CL),Pick-up by merchant haulage
387,EGSU9119065,2019-04-12,IQUIQUE (CL),Empty pick-up by merchant haulage
388,EISU2080411,2019-04-03,CALLAO (PE),Pick-up by merchant haulage
389,TEMU8921943,2019-04-02,CALLAO (PE),Discharged (FCL)
390,EISU9330641,2019-04-12,CALLAO (PE),Empty container returned
391,EMCU3717590,2019-04-10,CALLAO (PE),Empty pick-up by merchant haulage
392,EGHU9167645,2019-04-04,CALLAO (PE),Empty container returned
393,EGHU9199350,2019-04-03,CALLAO (PE),Full import container received at inland depot
394,TGBU6889586,2019-04-04,CALLAO (PE),Empty container returned
395,EGHU1035350,2019-04-03,CALLAO (PE),Pick-up by merchant haulage
396,EGSU9124400,2019-04-03,CALLAO (PE),Pick-up by merchant haulage
397,EGSU9124668,2019-04-03,CALLAO (PE),Pick-up by merchant haulage
398,EISU9252560,2019-04-02,CALLAO (PE),Pick-up by merchant haulage
399,EISU9346123,2019-04-03,CALLAO (PE),Pick-up by merchant haulage
400,EISU9347480,2019-04-03,CALLAO (PE),Pick-up by merchant haulage
401,EISU9350102,2019-04-03,CALLAO (PE),Pick-up by merchant haulage
402,EISU9482855,2019-04-03,CALLAO (PE),Pick-up by merchant haulage
403,TGBU5810988,2019-04-02,CALLAO (PE),Pick-up by merchant haulage
404,EISU9177912,2019-04-02,CALLAO (PE),Pick-up by merchant haulage
405,EMCU5316426,2019-04-02,CALLAO (PE),Full import container received at inland depot
406,EISU9370177,2019-04-08,CALLAO (PE),Empty container returned under damaged condition
407,EGHU3283967,2019-04-11,CALLAO (PE),Empty container returned
408,EGHU3343290,2019-04-09,CALLAO (PE),Empty pick-up by merchant haulage
409,EGHU3462561,2019-04-09,CALLAO (PE),Empty pick-up by merchant haulage
410,EISU2046823,2019-04-10,CALLAO (PE),Empty container returned
411,EISU2222516,2019-04-09,CALLAO (PE),Empty pick-up by merchant haulage
412,IMTU9042282,2019-04-02,CALLAO (PE),Full import container received at inland depot
413,EGSU9022650,2019-04-08,CALLAO (PE),Empty container returned under damaged condition
414,EMCU3895036,2019-04-02,CALLAO (PE),Full import container received at inland depot
415,EISU9399632,2019-04-05,CALLAO (PE),Empty container returned under damaged condition
416,IMTU9031879,2019-04-05,CALLAO (PE),Empty container returned under damaged condition
417,IMTU9056120,2019-04-04,CALLAO (PE),Empty container returned under damaged condition
418,MAGU5297792,2019-04-04,CALLAO (PE),Empty container returned under damaged condition
419,TEMU6246790,2019-04-12,CALLAO (PE),Received
420,TEMU8686799,2019-04-15,CALLAO (PE),Received
421,TEMU8912598,2019-04-04,CALLAO (PE),Empty container returned under damaged condition
422,GATU8764534,2019-04-04,CALLAO (PE),Empty container returned under damaged condition
423,IMTU9073386,2019-04-10,CALLAO (PE),Empty container returned
424,MAGU5376947,2019-04-10,CALLAO (PE),Empty container returned
425,TGHU4973581,2019-03-31,CALLAO (PE),Discharged (FCL)
426,EGHU9067965,2019-04-04,CALLAO (PE),Empty container returned under damaged condition
427,EGHU3214246,2019-03-27,BUENAVENTURA (CO),Loaded (FCL) on vessel
428,TGHU0291053,2019-03-27,BUENAVENTURA (CO),Loaded (FCL) on vessel
429,EGHU3559865,2019-03-27,BUENAVENTURA (CO),Loaded (FCL) on vessel
430,TEMU0769480,2019-03-27,BUENAVENTURA (CO),Loaded (FCL) on vessel
431,EMCU5428004,2019-03-27,BUENAVENTURA (CO),Loaded (FCL) on vessel
432,EMCU5405375,2019-03-27,BUENAVENTURA (CO),Loaded (FCL) on vessel
433,EGHU3236923,2019-04-12,GUAYAQUIL (EC),Pick-up by merchant haulage
434,EMCU3955161,2019-04-10,GUAYAQUIL (EC),Empty container returned under damaged condition
435,TEMU7142595,2019-04-13,GUAYAQUIL (EC),Empty container returned
436,TGHU6281258,2019-04-04,GUAYAQUIL (EC),Discharged (FCL)
437,TEMU3850092,2019-04-13,GUAYAQUIL (EC),Pick-up by merchant haulage
438,TGHU6658207,2019-04-13,IQUIQUE (CL),Loaded (FCL) on vessel
439,EGHU3016620,2019-03-15,BUENAVENTURA (CO),Empty container returned
440,EGHU3127692,2019-03-12,BUENAVENTURA (CO),Empty container returned
441,EGHU3398586,2019-03-18,BUENAVENTURA (CO),Empty container returned
442,EGHU3658050,2019-03-21,BUENAVENTURA (CO),Empty container returned
443,EGSU3061705,2019-03-11,BUENAVENTURA (CO),Empty container returned
444,EMCU3967901,2019-03-09,BUENAVENTURA (CO),Empty container returned
445,EMCU6027388,2019-03-14,BUENAVENTURA (CO),Empty container returned
446,TEMU3875491,2019-03-12,BUENAVENTURA (CO),Empty container returned
447,TEMU3950717,2019-03-21,BUENAVENTURA (CO),Empty container returned
448,EGHU9238590,2019-03-16,BUENAVENTURA (CO),Empty container returned
449,EGHU9322417,2019-03-20,BUENAVENTURA (CO),Empty container returned
450,EGSU9022389,2019-03-19,BUENAVENTURA (CO),Empty container returned
451,EGSU9033824,2019-03-12,BUENAVENTURA (CO),Empty container returned
452,EGSU9071803,2019-03-11,BUENAVENTURA (CO),Empty container returned
453,EISU9337585,2019-03-12,BUENAVENTURA (CO),Empty container returned
454,EMCU9746908,2019-03-14,BUENAVENTURA (CO),Empty container returned
455,EMCU9797886,2019-03-13,BUENAVENTURA (CO),Empty container returned
456,HMCU9139450,2019-03-11,BUENAVENTURA (CO),Empty container returned
457,TEMU6047058,2019-03-22,BUENAVENTURA (CO),Empty container returned
458,TEMU6059362,2019-02-28,BUENAVENTURA (CO),Empty container returned
459,TEMU8947845,2019-02-26,BUENAVENTURA (CO),Empty container returned
460,TGBU6290160,2019-03-19,BUENAVENTURA (CO),Empty container returned
461,TGBU6536167,2019-03-12,BUENAVENTURA (CO),Empty container returned
462,TGBU6608170,2019-03-19,BUENAVENTURA (CO),Empty container returned
463,TGBU6881944,2019-03-13,BUENAVENTURA (CO),Empty container returned
464,TGBU6940203,2019-03-16,BUENAVENTURA (CO),Empty container returned
465,TGBU6953474,2019-03-09,BUENAVENTURA (CO),Empty container returned
466,TGBU7025747,2019-03-19,BUENAVENTURA (CO),Empty container returned
467,TGHU6826255,2019-03-19,BUENAVENTURA (CO),Empty container returned
468,TGHU8684376,2019-03-22,BUENAVENTURA (CO),Empty container returned
469,EGSU1002869,2019-03-13,BUENAVENTURA (CO),Empty container returned
470,EISU1631079,2019-03-19,BUENAVENTURA (CO),Empty container returned
471,EMCU1398940,2019-03-20,BUENAVENTURA (CO),Empty container returned
472,HMCU1037010,2019-03-20,BUENAVENTURA (CO),Empty container returned
473,HMCU1083798,2019-03-13,BUENAVENTURA (CO),Empty container returned
474,IMTU1088970,2019-03-20,BUENAVENTURA (CO),Empty container returned
475,IMTU1097864,2019-03-09,BUENAVENTURA (CO),Empty container returned
476,EGHU9325186,2019-03-08,BUENAVENTURA (CO),Empty container returned
477,EGHU9396847,2019-03-09,BUENAVENTURA (CO),Empty container returned
478,EGHU9397519,2019-03-08,BUENAVENTURA (CO),Empty container returned
479,EISU9268627,2019-03-22,BUENAVENTURA (CO),Empty container returned
480,EMCU9573612,2019-03-14,BUENAVENTURA (CO),Empty container returned
481,EMCU9786496,2019-03-21,BUENAVENTURA (CO),Empty container returned
482,GATU8732352,2019-03-12,BUENAVENTURA (CO),Empty container returned
483,HMCU9003778,2019-03-15,BUENAVENTURA (CO),Empty container returned
484,TGHU6657957,2019-03-11,BUENAVENTURA (CO),Empty container returned
485,EGHU5002708,2019-04-06,GUAYAQUIL (EC),Empty container returned under damaged condition
486,EGHU5011844,2019-04-06,GUAYAQUIL (EC),Empty container returned under damaged condition
487,EMCU5274439,2019-04-06,GUAYAQUIL (EC),Empty container returned under damaged condition
488,EMCU5277150,2019-04-06,GUAYAQUIL (EC),Empty container returned under damaged condition
489,EMCU5290609,2019-04-06,GUAYAQUIL (EC),Empty container returned under damaged condition
490,EMCU5292031,2019-04-06,GUAYAQUIL (EC),Empty container returned under damaged condition
491,EMCU5311234,2019-04-06,GUAYAQUIL (EC),Empty container returned under damaged condition
492,EMCU5321762,2019-04-06,GUAYAQUIL (EC),Empty container returned under damaged condition
493,EMCU5339144,2019-04-06,GUAYAQUIL (EC),Empty container returned under damaged condition
494,EMCU5376364,2019-04-06,GUAYAQUIL (EC),Empty container returned under damaged condition
495,TGBU6917630,2019-04-01,CALLAO (PE),Pick-up by merchant haulage
496,EISU9205547,2019-04-08,CALLAO (PE),Empty container returned under damaged condition
497,EGSU9196523,2019-04-10,CALLAO (PE),Empty container returned
498,TGBU6605437,2019-04-12,CALLAO (PE),Empty container returned
499,EMCU1354752,2019-04-01,CALLAO (PE),Pick-up by merchant haulage
500,EISU3939646,2019-04-09,CALLAO (PE),Empty pick-up by merchant haulage
501,EMCU1450041,2019-04-05,CALLAO (PE),Empty container returned
502,EGHU3408853,2019-04-02,CALLAO (PE),Transship container loaded on vessel
503,EISU3910529,2019-04-02,CALLAO (PE),Transship container loaded on vessel
504,EGHU3428000,2019-04-09,CALLAO (PE),Transship container loaded on vessel
505,EMCU3793902,2019-04-09,CALLAO (PE),Transship container loaded on vessel
506,TEMU0087515,2019-04-09,CALLAO (PE),Transship container loaded on vessel
507,TEMU3925988,2019-04-09,CALLAO (PE),Transship container loaded on vessel
508,TEMU4272018,2019-04-09,CALLAO (PE),Transship container loaded on vessel
509,EGSU9188600,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
510,TEMU8932172,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
511,TGBU6086877,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
512,TGBU6307284,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
513,TEMU8932059,2019-04-13,GUAYAQUIL (EC),Empty container returned
514,EMCU5421015,2019-04-12,COLON CONTAINER TERMINAL (PA),Transship container loaded on vessel
515,EISU5688180,2019-04-05,GUAYAQUIL (EC),Empty container returned under damaged condition
516,EMCU5431287,2019-04-12,COLON CONTAINER TERMINAL (PA),Transship container loaded on vessel
517,EMCU5283472,2019-04-12,BUENAVENTURA (CO),Empty container returned
518,EMCU5306412,2019-04-11,BUENAVENTURA (CO),Empty container returned
519,EMCU5239757,2019-04-11,BUENAVENTURA (CO),Empty container returned
520,EMCU5287483,2019-04-10,BUENAVENTURA (CO),Pick-up by merchant haulage
521,EISU5679419,2019-04-05,GUAYAQUIL (EC),Empty container returned under damaged condition
522,EMCU5432299,2019-04-12,COLON CONTAINER TERMINAL (PA),Transship container loaded on vessel
523,EMCU5415769,2019-04-12,COLON CONTAINER TERMINAL (PA),Transship container loaded on vessel
524,EMCU5370026,2019-04-12,COLON CONTAINER TERMINAL (PA),Transship container loaded on vessel
525,EMCU5400460,2019-04-12,COLON CONTAINER TERMINAL (PA),Transship container loaded on vessel
526,EMCU9811198,2019-04-11,COLON CONTAINER TERMINAL (PA),Full import container received at inland depot
527,EGHU5014313,2019-04-11,BUENAVENTURA (CO),Empty container returned
528,EISU5690064,2019-04-12,BUENAVENTURA (CO),Empty container returned
529,EMCU5302130,2019-04-12,BUENAVENTURA (CO),Empty container returned
530,EMCU5353604,2019-04-10,BUENAVENTURA (CO),Empty container returned
531,EMCU5405420,2019-04-12,BUENAVENTURA (CO),Empty container returned
532,TGHU6972603,2019-04-10,GUAYAQUIL (EC),Empty container returned
533,TGBU6743858,2019-04-15,BUENAVENTURA (CO),Empty container returned
534,EGHU3401479,2019-04-08,GUAYAQUIL (EC),Empty container returned
535,TGBU6262615,2019-04-11,COLON CONTAINER TERMINAL (PA),Full import container received at inland depot
536,TGBU6606053,2019-04-14,COLON CONTAINER TERMINAL (PA),Transship container loaded on vessel
537,EMCU5369513,2019-04-12,COLON CONTAINER TERMINAL (PA),Transship container loaded on vessel
538,EGHU3454479,2019-04-05,BUENAVENTURA (CO),Discharged (FCL)
539,TGBU6925575,2019-04-13,BUENAVENTURA (CO),Pick-up by merchant haulage
540,HMCU9164345,2019-04-02,GUAYAQUIL (EC),Discharged (FCL)
541,TGBU6262620,2019-04-13,BUENAVENTURA (CO),Pick-up by merchant haulage
542,HMCU9093405,2019-04-12,BALBOA (PA),Pick-up by merchant haulage
543,EMCU9387921,2019-04-12,COLON CONTAINER TERMINAL (PA),Transship container loaded on vessel
544,EMCU9873965,2019-04-12,COLON CONTAINER TERMINAL (PA),Transship container loaded on vessel
545,TGBU7153619,2019-04-16,BUENAVENTURA (CO),Pick-up by merchant haulage
546,EGHU9020485,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
547,EGHU9119821,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
548,EGHU9152917,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
549,EGHU9248916,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
550,EGHU9260681,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
551,EGSU9144509,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
552,EISU9174852,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
553,EISU9196450,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
554,EISU9319128,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
555,EISU9415461,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
556,EMCU9556744,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
557,EMCU9600868,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
558,EMCU9670660,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
559,EMCU9766890,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
560,EMCU9821257,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
561,HMCU9146974,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
562,HMCU9198710,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
563,IMTU9047561,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
564,IMTU9056157,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
565,IMTU9064342,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
566,IMTU9079717,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
567,MAGU5398437,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
568,TEMU7125710,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
569,TEMU8949914,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
570,TGBU6018810,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
571,TGBU6272594,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
572,TGBU6279032,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
573,TGBU6288862,2019-04-06,BUENAVENTURA (CO),Transship container loaded on vessel
574,EGHU9294613,2019-04-08,GUAYAQUIL (EC),Pick-up by merchant haulage
575,TGBU6923309,2019-04-06,GUAYAQUIL (EC),Empty container returned
576,CLHU8992286,2019-04-02,CALLAO (PE),Empty container returned under damaged condition
577,TGBU6261809,2019-04-01,CALLAO (PE),Full import container received at inland depot
578,TGBU7149460,2019-04-01,CALLAO (PE),Full import container received at inland depot
579,EMCU5327890,2019-04-13,CALLAO (PE),Empty pick-up by merchant haulage
580,EISU5703310,2019-04-09,CALLAO (PE),Empty container returned
581,EISU1838770,2019-03-30,CALLAO (PE),Discharged (FCL)
582,TGBU6954444,2019-04-08,CALLAO (PE),Empty container returned
583,HMCU1032867,2019-04-05,CALLAO (PE),Empty container returned
584,EISU1733553,2019-04-04,CALLAO (PE),Empty container returned
585,EGSU1011351,2019-04-04,CALLAO (PE),Empty container returned under damaged condition
586,EGHU1016494,2019-04-04,CALLAO (PE),Empty container returned
587,IMTU1028478,2019-04-05,CALLAO (PE),Empty container returned
588,EMCU1317403,2019-04-04,CALLAO (PE),Empty container returned
589,EISU1735617,2019-04-05,CALLAO (PE),Empty container returned
590,EISU1816597,2019-04-04,CALLAO (PE),Empty container returned
591,HMCU1058202,2019-04-04,CALLAO (PE),Empty container returned
592,EGSU3065146,2019-03-30,CALLAO (PE),Discharged (FCL)
593,EGSU3117487,2019-03-30,CALLAO (PE),Discharged (FCL)
594,EISU2187821,2019-03-30,CALLAO (PE),Discharged (FCL)
595,EISU2248995,2019-03-30,CALLAO (PE),Discharged (FCL)
596,EISU3910880,2019-03-30,CALLAO (PE),Discharged (FCL)
597,EMCU3577360,2019-03-30,CALLAO (PE),Discharged (FCL)
598,EMCU3629714,2019-03-30,CALLAO (PE),Discharged (FCL)
599,EMCU3923478,2019-04-01,CALLAO (PE),Pick-up by merchant haulage
600,IMTU3051944,2019-03-30,CALLAO (PE),Discharged (FCL)
601,TEMU0533638,2019-03-30,CALLAO (PE),Discharged (FCL)
602,TEMU2913771,2019-04-01,CALLAO (PE),Pick-up by merchant haulage
603,TEMU3851205,2019-03-30,CALLAO (PE),Discharged (FCL)
604,EGSU9106200,2019-04-11,CALLAO (PE),Empty pick-up by merchant haulage
605,EGSU5016032,2019-03-30,CALLAO (PE),Discharged (FCL)
606,EGSU5007581,2019-03-30,CALLAO (PE),Discharged (FCL)
607,TEMU6066253,2019-04-16,CALLAO (PE),Empty container returned
608,EMCU3907630,2019-04-13,CALLAO (PE),Empty pick-up by merchant haulage
609,TEMU4272363,2019-04-15,CALLAO (PE),Empty pick-up by merchant haulage
610,EISU9327102,2019-04-05,CALLAO (PE),Empty container returned
611,EMCU9751925,2019-03-30,CALLAO (PE),Discharged (FCL)
612,EISU1850117,2019-04-05,CALLAO (PE),Empty container returned
613,EGHU9053642,2019-04-13,LIRQUEN (CL),Empty pick-up by merchant haulage
614,EGHU9064930,2019-04-13,LIRQUEN (CL),Empty pick-up by merchant haulage
615,EGHU9111374,2019-04-13,LIRQUEN (CL),Empty pick-up by merchant haulage
616,EGHU9131410,2019-04-11,LIRQUEN (CL),Empty pick-up by merchant haulage
617,EGHU9141039,2019-04-11,LIRQUEN (CL),Received (FCL)
618,EGHU9146447,2019-04-12,LIRQUEN (CL),Received (FCL)
619,EGHU9152835,2019-04-09,LIRQUEN (CL),Empty container returned
620,EGHU9172153,2019-04-11,LIRQUEN (CL),Received (FCL)
621,EGHU9176647,2019-04-09,LIRQUEN (CL),Empty container returned
622,EGHU9193177,2019-04-09,LIRQUEN (CL),Empty container returned
623,EGHU9248691,2019-04-13,LIRQUEN (CL),Empty pick-up by merchant haulage
624,EGHU9251519,2019-04-11,LIRQUEN (CL),Empty pick-up by merchant haulage
625,EGHU9268018,2019-04-09,LIRQUEN (CL),Empty container returned
626,EGHU9331039,2019-04-13,LIRQUEN (CL),Empty pick-up by merchant haulage
627,EGHU9350126,2019-04-10,LIRQUEN (CL),Received (FCL)
628,EGHU9353228,2019-04-10,LIRQUEN (CL),Received (FCL)
629,EGHU9355600,2019-04-11,LIRQUEN (CL),Loaded (FCL) on vessel
630,EGHU9368640,2019-04-11,LIRQUEN (CL),Received (FCL)
631,EGHU9382000,2019-04-05,LIRQUEN (CL),Empty container returned
632,EGSU9001278,2019-04-11,LIRQUEN (CL),Loaded (FCL) on vessel
633,EGSU9002504,2019-04-13,LIRQUEN (CL),Received (FCL)
634,EGSU9085812,2019-04-10,LIRQUEN (CL),Received (FCL)
635,EGSU9164911,2019-04-13,LIRQUEN (CL),Empty pick-up by merchant haulage
636,EISU9198319,2019-04-05,LIRQUEN (CL),Empty container returned
637,TEMU6115851,2019-04-12,LIRQUEN (CL),Loaded (FCL) on vessel
638,TEMU6206463,2019-04-16,LIRQUEN (CL),Received (FCL)
639,TEMU6280202,2019-04-12,LIRQUEN (CL),Loaded (FCL) on vessel
640,TEMU6443444,2019-04-12,LIRQUEN (CL),Loaded (FCL) on vessel
641,TEMU7147093,2019-04-10,LIRQUEN (CL),Received (FCL)
642,TEMU7837000,2019-04-12,LIRQUEN (CL),Loaded (FCL) on vessel
643,TEMU8380387,2019-04-14,LIRQUEN (CL),Received (FCL)
644,TEMU8538174,2019-04-11,LIRQUEN (CL),Loaded (FCL) on vessel
645,TEMU8682330,2019-04-16,LIRQUEN (CL),Received (FCL)
646,TEMU8814673,2019-04-10,LIRQUEN (CL),Received (FCL)
647,TEMU8951296,2019-04-12,LIRQUEN (CL),Received (FCL)
648,TGBU5826691,2019-04-10,LIRQUEN (CL),Received (FCL)
649,TGBU6019020,2019-04-11,LIRQUEN (CL),Received (FCL)
650,TGBU6510049,2019-04-11,LIRQUEN (CL),Loaded (FCL) on vessel
651,TGBU6529002,2019-04-04,LIRQUEN (CL),Empty container returned
652,TGBU6534349,2019-04-10,LIRQUEN (CL),Received (FCL)
653,TGBU6534755,2019-04-11,LIRQUEN (CL),Received (FCL)
654,TGBU6585156,2019-04-11,LIRQUEN (CL),Received (FCL)
655,TGBU6621910,2019-04-11,LIRQUEN (CL),Loaded (FCL) on vessel
656,TGBU6624530,2019-04-11,LIRQUEN (CL),Received (FCL)
657,TGBU6774988,2019-04-11,LIRQUEN (CL),Received (FCL)
658,MAGU5295249,2019-04-12,LIRQUEN (CL),Loaded (FCL) on vessel
659,MAGU5296559,2019-04-11,LIRQUEN (CL),Loaded (FCL) on vessel
660,TGBU6882998,2019-04-16,LIRQUEN (CL),Received (FCL)
661,TGBU6890720,2019-04-11,LIRQUEN (CL),Received (FCL)
662,TGBU6891686,2019-04-15,LIRQUEN (CL),Received (FCL)
663,TGBU7021021,2019-04-09,LIRQUEN (CL),Empty container returned
664,TGBU7029526,2019-04-11,LIRQUEN (CL),Received (FCL)
665,TGHU8990627,2019-04-16,LIRQUEN (CL),Received (FCL)
666,TGHU9020047,2019-04-15,LIRQUEN (CL),Received (FCL)
667,TGHU9403302,2019-04-09,LIRQUEN (CL),Empty container returned
668,MAGU5367436,2019-04-11,LIRQUEN (CL),Received (FCL)
669,EISU9208295,2019-04-11,LIRQUEN (CL),Loaded (FCL) on vessel
670,EISU9249036,2019-04-13,LIRQUEN (CL),Received (FCL)
671,EISU9292325,2019-04-13,LIRQUEN (CL),Empty pick-up by merchant haulage
672,EISU9292731,2019-04-11,LIRQUEN (CL),Loaded (FCL) on vessel
673,EISU9297380,2019-04-12,LIRQUEN (CL),Loaded (FCL) on vessel
674,EISU9370623,2019-04-11,LIRQUEN (CL),Loaded (FCL) on vessel
675,EISU9455443,2019-04-11,LIRQUEN (CL),Empty container returned
676,EISU9457976,2019-04-12,LIRQUEN (CL),Loaded (FCL) on vessel
677,EISU9088224,2019-04-12,LIRQUEN (CL),Received (FCL)
678,EISU9124316,2019-04-11,LIRQUEN (CL),Loaded (FCL) on vessel
679,EMCU9614558,2019-04-06,LIRQUEN (CL),Empty pick-up by merchant haulage
680,EMCU9620289,2019-04-05,LIRQUEN (CL),Empty container returned
681,EMCU9631787,2019-04-11,LIRQUEN (CL),Loaded (FCL) on vessel
682,EMCU9710572,2019-04-12,LIRQUEN (CL),Received (FCL)
683,EMCU9727111,2019-04-12,LIRQUEN (CL),Received (FCL)
684,EMCU9765894,2019-04-13,LIRQUEN (CL),Empty pick-up by merchant haulage
685,EMCU9828333,2019-04-11,LIRQUEN (CL),Loaded (FCL) on vessel
686,EMCU9868505,2019-04-04,LIRQUEN (CL),Empty container returned
687,HMCU9002792,2019-04-05,LIRQUEN (CL),Empty container returned
688,HMCU9016034,2019-04-11,LIRQUEN (CL),Loaded (FCL) on vessel
689,HMCU9037947,2019-04-11,LIRQUEN (CL),Empty pick-up by merchant haulage
690,HMCU9054625,2019-04-06,LIRQUEN (CL),Empty container returned
691,HMCU9077019,2019-04-13,LIRQUEN (CL),Empty pick-up by merchant haulage
692,HMCU9083937,2019-04-13,LIRQUEN (CL),Empty pick-up by merchant haulage
693,HMCU9124321,2019-04-05,LIRQUEN (CL),Empty container returned
694,HMCU9124980,2019-04-13,LIRQUEN (CL),Empty pick-up by merchant haulage
695,HMCU9134042,2019-04-12,LIRQUEN (CL),Received (FCL)
696,HMCU9182061,2019-04-12,LIRQUEN (CL),Received (FCL)
697,HMCU9199383,2019-04-12,LIRQUEN (CL),Loaded (FCL) on vessel
698,IMTU9043020,2019-04-12,LIRQUEN (CL),Loaded (FCL) on vessel
699,IMTU9058247,2019-04-13,LIRQUEN (CL),Empty pick-up by merchant haulage
700,EGHU3261607,2019-04-05,ARICA (CL),Discharged (FCL)
701,EMCU3945965,2019-04-05,ARICA (CL),Discharged (FCL)
702,TEMU0628081,2019-04-05,ARICA (CL),Discharged (FCL)
703,EGSU9089910,2019-04-10,ARICA (CL),Pick-up by merchant haulage
704,HMCU9214425,2019-04-12,IQUIQUE (CL),Pick-up by merchant haulage
705,EISU9187187,2019-04-13,ARICA (CL),Pick-up by merchant haulage
706,IMTU3056484,2019-04-13,IQUIQUE (CL),Loaded (FCL) on vessel
707,GATU8790678,2019-04-14,ARICA (CL),Pick-up by merchant haulage
708,TEMU6075620,2019-04-16,ARICA (CL),Pick-up by merchant haulage
709,TEMU8895530,2019-04-16,ARICA (CL),Pick-up by merchant haulage
710,EMCU9479205,2019-04-12,IQUIQUE (CL),Pick-up by merchant haulage
711,EGHU3014443,2019-04-13,ARICA (CL),Pick-up by merchant haulage
712,EISU2108648,2019-04-13,ARICA (CL),Pick-up by merchant haulage
713,EISU3957001,2019-04-13,ARICA (CL),Pick-up by merchant haulage
714,EMCU3478069,2019-04-13,ARICA (CL),Pick-up by merchant haulage
715,EMCU3973680,2019-04-13,ARICA (CL),Pick-up by merchant haulage
716,EMCU6051466,2019-04-13,ARICA (CL),Pick-up by merchant haulage
717,TEMU3689780,2019-04-10,ARICA (CL),Pick-up by merchant haulage
718,EISU9234308,2019-04-10,IQUIQUE (CL),Empty container returned under damaged condition
